,0,1,2,3,4,5,6,7,8,9
0,10,11,6,13,0,15,16,3,2,4
1,10,11,6,13,0,15,16,3,2,19
2,10,11,6,8,0,15,16,3,2,19
3,10,11,6,8,0,15,16,17,2,19
4,3,11,6,8,0,15,16,17,2,19
5,10,11,6,8,0,15,16,17,2,19
6,10,9,6,8,0,15,16,17,2,19
7,10,9,6,8,0,15,16,4,2,19
8,10,9,6,8,14,15,16,4,2,19
9,10,9,6,8,14,15,16,4,2,0
10,10,9,6,8,14,5,16,4,2,0
11,10,9,6,8,7,5,16,4,2,19
12,10,9,6,8,7,5,4,17,2,19
13,10,9,6,8,7,5,4,17,2,1
14,5,9,6,8,7,15,4,17,2,1
15,5,9,6,8,7,3,4,17,2,1
16,5,0,6,8,7,3,4,17,2,1
17,5,0,6,8,7,3,16,4,2,1
18,5,0,6,8,7,3,16,4,2,1
19,5,0,4,8,7,3,16,6,2,1
20,5,0,4,8,7,3,16,6,2,1
21,5,0,4,8,7,3,9,6,2,1
22,5,0,4,8,7,3,9,6,2,1
23,5,0,4,8,7,15,9,6,2,1
24,5,11,4,8,7,3,9,6,2,1
25,5,11,4,8,7,3,9,17,2,1
26,5,11,4,8,7,3,9,2,18,1
27,5,11,12,8,7,3,9,2,18,1
28,5,11,12,8,7,3,9,2,6,1
29,5,11,4,8,7,3,9,2,6,1
30,5,11,0,8,7,3,9,2,6,1
31,5,4,0,8,7,15,9,2,6,1
32,5,1,0,8,7,15,9,2,6,4
33,5,1,0,4,7,15,9,2,6,8
34,10,1,0,4,7,3,9,2,6,8
35,5,1,0,4,7,3,9,2,6,8
36,5,1,0,4,7,3,9,2,6,8
37,5,1,0,4,7,3,9,2,6,8
38,5,1,7,4,0,3,9,2,6,8
39,5,1,7,4,0,3,9,2,6,8
40,5,1,7,4,0,3,9,2,6,8
41,5,1,12,4,0,3,9,2,6,8
42,5,1,12,4,14,3,9,2,6,8
43,5,1,12,4,14,3,16,2,6,8
44,5,1,9,4,14,3,16,2,6,8
45,10,1,9,4,14,3,16,2,6,8
46,0,1,9,4,14,3,16,2,6,8
47,5,1,9,4,14,3,16,2,6,8
48,5,1,9,13,7,3,16,2,6,8
49,5,1,9,13,7,3,16,17,6,8
50,5,1,9,13,7,3,16,2,6,8
51,5,1,9,13,7,3,0,2,6,8
52,5,1,9,13,7,3,0,2,6,19
53,5,1,9,4,7,3,0,2,6,19
54,5,1,9,4,7,3,0,2,6,8
55,5,1,9,4,7,3,0,2,6,8
56,5,1,9,4,7,3,0,2,6,8
57,5,1,9,4,7,3,0,2,18,8
58,5,11,9,4,7,3,0,2,18,8
59,5,11,9,4,7,3,0,2,18,8
60,5,11,9,4,7,3,0,2,18,8
61,5,4,9,13,7,3,0,2,18,8
62,5,4,9,13,7,3,0,2,6,8
63,5,4,9,13,7,15,0,2,6,8
64,5,11,9,13,7,15,0,2,6,8
65,5,11,9,13,14,15,0,2,6,8
66,5,1,9,13,14,15,0,2,6,8
67,5,1,9,13,14,4,0,2,6,8
68,5,1,9,13,14,4,0,2,18,8
69,5,1,9,13,14,4,0,17,18,8
70,5,1,9,13,14,15,0,17,18,8
71,5,11,9,13,14,15,0,17,7,8
72,10,11,9,13,14,2,0,17,7,8
73,10,11,9,13,14,2,0,17,18,8
74,10,11,2,13,14,9,0,17,18,8
75,10,4,2,13,14,9,0,17,18,8
76,10,4,2,13,14,8,0,17,18,9
77,10,4,2,13,14,8,0,17,3,9
78,10,4,2,6,14,8,0,17,3,9
79,5,4,2,6,14,8,0,17,3,9
80,5,4,2,6,14,1,0,17,3,9
81,5,4,2,13,14,1,0,17,3,9
82,10,4,2,5,14,1,0,17,3,9
83,10,4,2,5,14,1,0,17,3,19
84,10,4,2,5,14,1,0,17,3,19
85,10,4,2,5,14,15,0,17,3,19
86,9,4,2,5,14,15,16,17,3,19
87,9,4,2,5,14,1,16,17,3,19
88,9,4,2,13,5,1,16,17,3,19
89,9,4,2,0,5,15,16,17,3,19
90,9,4,2,13,5,15,16,17,3,19
91,10,4,2,13,5,15,6,17,3,19
92,10,4,2,13,5,7,6,17,3,19
93,10,4,2,13,5,7,6,17,18,3
94,10,4,2,13,5,7,6,9,18,3
95,10,4,2,13,5,7,6,9,18,3
96,10,4,2,13,14,7,6,9,18,3
97,10,4,2,13,14,15,6,9,18,3
98,10,4,12,13,14,15,6,9,18,3
99,10,4,12,13,2,15,6,9,18,3
100,10,4,12,13,8,15,6,9,18,3
101,10,4,12,13,8,15,16,9,18,3
102,10,4,7,13,8,15,16,9,18,3
103,10,3,7,13,8,15,16,9,18,4
104,10,3,7,13,8,0,16,9,18,4
105,10,3,7,1,8,0,16,9,18,4
106,10,3,7,1,8,0,16,17,18,4
107,10,3,12,1,8,0,16,7,18,4
108,10,11,12,1,8,0,16,7,18,4
109,10,9,12,1,8,0,16,7,18,4
110,10,9,8,1,14,0,16,7,18,4
111,10,11,8,1,14,0,16,7,18,4
112,10,11,8,1,14,15,16,7,18,4
113,10,11,8,1,14,15,2,7,18,4
114,10,11,8,1,14,0,2,7,18,4
115,10,11,8,1,14,0,2,7,18,19
116,10,8,12,1,14,0,2,7,18,19
117,10,8,12,1,14,0,2,17,18,19
118,10,8,12,1,14,15,2,17,18,19
119,10,8,12,13,14,15,2,17,18,19
120,10,11,12,13,14,15,2,17,18,19
121,10,11,12,13,0,15,2,17,18,19
122,8,11,12,13,0,15,2,17,18,19
123,10,8,12,13,0,15,2,17,18,19
124,10,8,1,13,0,15,2,17,18,19
125,10,2,1,13,0,15,8,17,18,19
126,10,2,1,13,14,15,8,17,18,19
127,10,2,1,6,14,15,8,17,18,19
128,10,2,12,6,1,15,8,17,18,19
129,10,2,12,6,1,15,8,9,18,19
130,10,2,6,13,1,15,8,9,18,19
131,10,2,6,13,1,15,8,17,18,19
132,9,2,6,13,1,15,8,17,18,19
133,9,2,12,13,1,15,8,17,18,19
134,9,2,12,13,1,15,8,0,18,19
135,9,2,12,13,1,15,8,0,6,19
136,9,2,12,13,1,15,8,0,6,19
137,9,2,3,13,1,15,8,0,6,19
138,9,2,3,13,1,5,8,0,6,19
139,9,2,3,13,1,5,8,0,18,7
140,9,2,12,13,1,5,8,0,18,7
141,9,2,12,6,1,5,8,0,18,7
142,9,2,12,6,1,5,8,0,18,3
143,9,2,12,6,1,5,8,17,18,3
144,9,2,12,6,1,5,8,17,18,3
145,9,2,12,6,5,1,8,17,18,3
146,9,2,12,6,5,1,8,4,18,3
147,9,2,12,8,5,1,6,4,18,3
148,9,2,12,8,5,1,6,4,0,3
149,9,2,12,8,5,1,6,4,0,3
150,9,2,7,8,5,1,6,4,0,3
151,9,2,7,8,5,1,6,4,0,3
152,9,2,7,8,5,15,6,4,0,3
153,9,2,7,13,5,15,6,4,0,3
154,9,2,7,8,5,15,6,4,0,3
155,9,2,7,8,5,1,6,4,0,3
156,9,2,7,4,5,1,6,8,0,3
157,9,2,7,4,5,1,6,8,0,3
158,9,2,7,4,5,1,6,8,18,3
159,9,2,7,4,5,1,6,8,0,3
160,9,2,7,4,5,1,6,8,0,3
161,9,11,7,4,5,1,6,8,0,3
162,9,2,7,4,5,1,6,8,0,3
163,9,2,7,4,5,1,6,17,0,3
164,9,2,7,4,5,15,6,17,0,3
